page,surah_number,verse_number,segment,x_start,y_start,x_end,y_end
1,1,1,0,0.032,0.014,0.968,0.138
1,1,1,1,0.136,0.137,0.968,0.206
1,1,2,0,0.032,0.137,0.172,0.206
1,1,2,1,0.032,0.192,0.968,0.261
1,1,2,2,0.247,0.246,0.968,0.315
1,1,3,0,0.032,0.246,0.283,0.315
1,1,3,1,0.032,0.301,0.968,0.37
1,1,3,2,0.671,0.363,0.968,0.432
1,1,4,0,0.064,0.359,0.707,0.428
1,1,5,0,0.032,0.359,0.1,0.428
1,1,5,1,0.032,0.414,0.968,0.483
1,1,5,2,0.068,0.475,0.968,0.544
1,1,6,0,0.032,0.475,0.104,0.544
1,1,6,1,0.032,0.53,0.968,0.599
1,1,6,2,0.258,0.589,0.968,0.658
1,1,7,0,0.032,0.589,0.294,0.658
1,1,7,1,0.032,0.644,0.968,0.823
1,1,7,2,0.231,0.814,0.968,0.883
2,2,1,0,0.032,0.014,0.968,0.303
2,2,1,1,0.809,0.264,0.968,0.333
2,2,2,0,0.032,0.264,0.845,0.333
2,2,2,1,0.032,0.319,0.968,0.388
2,2,2,2,0.735,0.378,0.968,0.447
2,2,3,0,0.032,0.378,0.771,0.447
2,2,3,1,0.032,0.433,0.968,0.502
2,2,3,2,0.064,0.491,0.968,0.56
2,2,4,0,0.032,0.491,0.1,0.56
2,2,4,1,0.032,0.547,0.968,0.726
2,2,4,2,0.299,0.716,0.968,0.785
2,2,5,0,0.032,0.716,0.335,0.785
2,2,5,1,0.032,0.771,0.968,0.84
2,2,5,2,0.066,0.828,0.968,0.896
3,2,6,0,0.032,0.014,0.968,0.083
3,2,6,1,0.762,0.082,0.968,0.151
3,2,7,0,0.032,0.082,0.798,0.151
3,2,7,1,0.229,0.141,0.968,0.21
3,2,8,0,0.032,0.141,0.265,0.21
3,2,8,1,0.05,0.204,0.968,0.273
3,2,9,0,0.032,0.204,0.086,0.273
3,2,9,1,0.032,0.259,0.968,0.328
3,2,9,2,0.723,0.322,0.968,0.392
3,2,10,0,0.032,0.322,0.759,0.392
3,2,10,1,0.281,0.383,0.968,0.453
3,2,11,0,0.032,0.383,0.317,0.453
3,2,11,1,0.05,0.445,0.968,0.514
3,2,12,0,0.032,0.445,0.086,0.514
3,2,12,1,0.191,0.505,0.968,0.574
3,2,13,0,0.032,0.505,0.227,0.574
3,2,13,1,0.032,0.56,0.968,0.629
3,2,13,2,0.227,0.627,0.968,0.696
3,2,14,0,0.032,0.627,0.263,0.696
3,2,14,1,0.032,0.682,0.968,0.751
3,2,14,2,0.459,0.747,0.968,0.816
3,2,15,0,0.032,0.747,0.495,0.816
